PLATINUM_PRICE_price,CRUDE_OIL_PRICE_timestamp,VALOR_CONTRA_YEN_time_difference,CORN_PRICE_time_difference,VALOR_CONTRA_LIBRA_timestamp,CRUDE_OIL_PRICE_open,CORN_PRICE_open,CRUDE_OIL_PRICE_price,CRUDE_OIL_PRICE_change,high,CRUDE_OIL_PRICE_volume,ind,open,CORN_PRICE_high,COCACOLA_PRICE_open,CRUDE_OIL_PRICE_high,PLATINUM_PRICE_low,TIN_PRICE_open,TIN_PRICE_change,PLATINUM_PRICE_change,count_agg,low,PLATINUM_PRICE_volume,VALOR_CONTRA_YEN_nivel,COCACOLA_PRICE_price,change,VALOR_CONTRA_EURO_time_difference,TIN_PRICE_time_difference,CORN_PRICE_low,timestamp,price,VALOR_CONTRA_LIBRA_nivel,TIN_PRICE_low,CORN_PRICE_price,volume,VALOR_CONTRA_LIBRA_time_difference,PLATINUM_PRICE_high,VALOR_CONTRA_YEN_timestamp,TIN_PRICE_timestamp,TIN_PRICE_high,CORN_PRICE_volume,COCACOLA_PRICE_volume,CORN_PRICE_change,COCACOLA_PRICE_high,COCACOLA_PRICE_timestamp,VALOR_CONTRA_EURO_timestamp,CRUDE_OIL_PRICE_low,COCACOLA_PRICE_low,VALOR_CONTRA_EURO_nivel,PLATINUM_PRICE_open,COCACOLA_PRICE_change,CORN_PRICE_timestamp,TIN_PRICE_price,PLATINUM_PRICE_timestamp,TIN_PRICE_volume,PLATINUM_PRICE_time_difference,CRUDE_OIL_PRICE_time_difference,COCACOLA_PRICE_time_difference
967.4,1581699600,7,7,1581699600,51.51,379.5,52.05,1.23%,29429.82,-,45,29401.0475,381.5,59.65,52.34,965.75,16600.0,-0.12%,-0.47%,0,29241.5875,-,0.1691,59.95,-0.20750000000000002,7,7,376.25,1581724800,29356.6075,24.2001,16520.0,377.75,240.4525,7,979.1,1581699600,1581699600,16605.0,-,9.97M,-0.46%,60.06,1581699600,1581699600,51.32,59.65,20.1265,971.9,0.57%,1581699600,16552.5,1581699600,-,7,7,7
972.0,1581613200,7,7,1581613200,51.72,382.25,51.42,0.49%,29463.04,745.40K,44,29440.47,382.75,59.43,51.96,963.45,16537.5,0.06%,0.84%,1,29283.18,-,0.1699,59.61,-0.09,7,7,379.0,1581638400,29398.08,24.2088,16500.0,379.5,232.55,7,977.55,1581613200,1581613200,16662.5,202.46K,8.17M,-0.91%,59.83,1581613200,1581613200,50.6,59.21,20.2465,963.75,0.34%,1581613200,16572.5,1581613200,-,7,7,7
963.95,1581526800,7,7,1581526800,49.96,379.75,51.17,2.46%,29535.4,795.26K,43,29436.03,383.75,59.45,51.73,957.25,16475.0,0.42%,-0.80%,1,29345.93,-,0.1694,59.41,-0.43,7,7,378.25,1581552000,29423.31,24.1874,16410.0,383.0,294.36,7,975.05,1581526800,1581526800,16572.5,241.46K,9.18M,0.86%,59.76,1581526800,1581526800,49.95,59.32,20.3299,971.8,-0.30%,1581526800,16562.5,1581526800,-,7,7,7
971.75,1581440400,7,7,1581440400,49.61,381.0,49.94,0.75%,29568.57,725.73K,42,29406.75,382.0,59.69,50.69,962.85,16295.0,0.20%,0.65%,1,29406.75,-,0.17,59.59,0.9400000000000001,7,7,378.0,1581465600,29551.42,24.138,16295.0,379.75,309.53,7,977.0,1581440400,1581440400,16595.0,200.41K,7.43M,-0.52%,59.8,1581440400,1581440400,49.58,59.32,20.3808,965.35,-0.27%,1581440400,16492.5,1581440400,-,7,7,7
965.45,1581354000,7,7,1581354000,50.12,383.25,49.57,-1.49%,29415.39,715.89K,41,29390.71,383.5,59.39,50.49,956.4,16220.0,1.26%,-0.47%,1,29210.47,-,0.1709,59.75,0.0,7,7,379.0,1581379200,29276.34,24.2485,16220.0,381.75,281.85,7,978.0,1581354000,1581354000,16495.0,219.02K,7.98M,-0.46%,59.84,1581354000,1581354000,49.42,59.29,20.5471,970.05,0.95%,1581354000,16460.0,1581354000,-,7,7,7
970.0,1581267600,17,17,1581354000,50.11,383.25,49.75,-1.13%,29278.07,-,40,28995.66,383.5,59.39,50.16,969.15,16220.0,1.26%,-0.02%,1,28995.66,-,0.1709,59.75,0.6000000000000001,17,17,379.0,1581292800,29276.82,24.2485,16220.0,381.75,257.46,17,972.6,1581354000,1581354000,16495.0,219.02K,7.98M,-0.46%,59.84,1581354000,1581354000,49.56,59.29,20.5471,970.15,0.95%,1581354000,16460.0,1581267600,-,7,7,17
970.0,1581267600,31,31,1581094800,50.11,380.25,49.75,-1.13%,29281.02,-,39,29092.7466666667,385.0,58.88,50.16,969.15,16700.0,-2.49%,-0.02%,0,29016.1,-,0.171,59.19,0.0866666667,31,31,380.0,1581206400,29218.7166666667,24.2787,16165.0,383.5,256.2633333333,31,972.6,1581094800,1581094800,16702.5,-,8.76M,1.12%,59.31,1581094800,1581094800,49.56,58.88,20.5647,970.15,0.34%,1581094800,16255.0,1581267600,-,17,17,31
970.15,1581094800,7,7,1581094800,51.11,380.25,50.32,-1.24%,29283.97,-,38,29189.8333333333,385.0,58.88,51.48,961.15,16700.0,-2.49%,0.13%,0,29036.54,-,0.171,59.19,-0.42666666670000003,7,7,380.0,1581120000,29160.6133333333,24.2787,16165.0,383.5,255.0666666667,7,978.7,1581094800,1581094800,16702.5,-,8.76M,1.12%,59.31,1581094800,1581094800,50.09,58.88,20.5647,968.8,0.34%,1581094800,16255.0,1581094800,-,7,7,7
968.9,1581008400,7,7,1581008400,51.17,380.25,50.95,0.39%,29286.92,750.66K,37,29286.92,381.75,58.95,52.2,963.3,16550.0,0.86%,-1.55%,1,29056.98,-,0.1698,58.99,-0.9400000000000001,7,7,376.0,1581033600,29102.51,24.1948,16477.5,379.25,253.87,7,991.65,1581008400,1581008400,16685.0,191.89K,9.35M,-0.39%,59.33,1581008400,1581008400,50.24,58.86,20.531,984.2,0.24%,1581008400,16670.0,1581008400,-,7,7,7
984.2,1580922000,7,7,1580922000,49.51,381.5,50.75,2.30%,29408.05,887.95K,36,29388.58,383.25,58.9,51.88,963.5,16275.0,1.32%,1.82%,1,29246.93,-,0.17,58.85,0.30000000000000004,7,7,379.5,1580947200,29379.77,24.3255,16275.0,380.75,263.7,7,989.3,1580922000,1580922000,16560.0,122.10K,11.41M,-0.39%,59.07,1580922000,1580922000,49.47,58.54,20.5289,966.85,0.02%,1580922000,16527.5,1580922000,-,7,7,7
